pc	kind	name	pair_status	plate_comment	pre_comment
# Format: tab-separated, # = comment, blank lines OK.
# Columns:
#   pc            — hex address (0x...)
#   kind          — "function" (rename + plate-comment) | "label" (pre-comment only) | "subroutine_call"
#   name          — new function/label name (Ghidra-safe identifier)
#   pair_status   — PAIR (bit-exact value match) | PAIR_DRIFT (values match, cadence drifts ≤2) | FAIL_COUNT (values match, count differs) | FAIL_VALUES
#   plate_comment — multi-line description; "\n" → newline. Function plates only.
#   pre_comment   — single-line annotation at the exact pc. "" if blank.
# All entries derived from probe BP comments and AUDIO_PARITY_FINAL_STATE.md.
# Bit-exact confirmation comes from research/effect_alignment/last_run/probe_pairs.json.

# === Layer 5: SPU register writers (the boundary FFT writes through to hit the SPU) ===
0x8001ACF0	function	spu_kon_koff_dispatcher	FAIL_COUNT	SPU KON/KOFF mask dispatcher.\nInvoked by silent-driver and per-channel commit paths to stage KON/KOFF bits.\nWrites do NOT go directly to SPU registers — they update RAM globals DAT_80037080-86 which are flushed to SPU SPU_KON_LO/HI / SPU_KOFF_LO/HI at IRQ time.\nArgs: a0 = voice-bit mask, a1 = mode (1 = KON, 0 = KOFF).\nProbe: probe_kon_koff_mask. PCSX emits one bundled mask per dispatch; Godot's _commit_kon splits into per-voice calls, hence count divergence (FAIL on count, PAIR on values per-voice).	BP @ probe_kon_koff_mask: captures (mask, mode).
0x8001B428	function	spu_write_voice_vol	PAIR	SPU voice volume L/R writer (no-sweep mode).\nWrites SPU+0x00 (vol_L) and SPU+0x02 (vol_R) for the addressed voice.\nArgs: a0 = voice index (0..23), a1 = vol_L (i16), a2 = vol_R (i16).\nProbe: probe_vol_register. PAIR 122/122 confirmed bit-exact.	BP @ probe_vol_register entry.
0x8001B4B0	function	spu_write_voice_vol_sweep	PAIR	SPU voice volume L/R writer (sweep mode).\nSets the high-bit-on (sweep-mode) variant of vol_L/vol_R. Sweep mode bits encode rate/direction; see VolumeFlags in vendor/pcsx-redux/src/spu/interface.h.\nArgs: a0 = voice, a1 = vol_L u16, a2 = vol_R u16, a3 = mode bits.\nProbe: probe_vol_register_sweep. PAIR 4/4 confirmed bit-exact.	BP @ probe_vol_register_sweep entry.
0x8001B628	function	spu_write_voice_pitch	PAIR	SPU voice pitch register writer.\nThe simplest SPU register write — one u16, no sweep, no RMW.\nBody:\n  addiu sp,sp,-0x8\n  lui v0,0x8003; lw v0,-0x52bc(v0)  ; v0 = SPU IO base 0x1F801C00\n  sll a0,a0,0x4 ; a0 = voice * 0x10\n  addu a0,a0,v0\n  sh a1,0x4(a0)                     ; SPU+0x4 = pitch\nArgs: a0 = voice (0..23), a1 = pitch u16.\nProbe: probe_pitch_register. PAIR 222/222 confirmed bit-exact (1-cadence drift on 220/222 rows, value-exact).	BP @ probe_pitch_register entry.
0x8001B6A4	function	spu_write_voice_sample_start_addr	PAIR	SPU voice sample start_addr writer.\nWrites SPU+0x06 with the ADPCM start address (in 8-byte units stored as byte offset). Used at instrument load / KON to seed pCurr.\nArgs: a0 = voice, a1 = start_addr.\nProbe: probe_sample_start_addr_register. PAIR 4/4 bit-exact.	BP @ probe_sample_start_addr_register entry.
0x8001B720	function	spu_write_voice_sample_repeat_addr	PAIR	SPU voice sample repeat_addr (loop) writer.\nWrites SPU+0x0E. The repeat address may point into a DIFFERENT instrument's ADPCM region (FFT loops sustained tones into shared cross-instrument data).\nArgs: a0 = voice, a1 = repeat_addr.\nProbe: probe_sample_repeat_addr_register. PAIR 4/4 bit-exact.	BP @ probe_sample_repeat_addr_register entry.
0x8001B79C	function	spu_write_voice_adsr1_mid	PAIR	SPU voice ADSR1 mid-nibble RMW writer.\nRead-modify-write of SPU+0x08 bits 4-7 (decay rate nibble) + 0-3 (sustain level nibble). Mirrors PCSX-Redux SPU ADSR set via writeRegister.\nArgs: a0 = voice, a1 = decay_rate_nibble, a2 = sustain_level_nibble.\nProbe: probe_adsr1_mid_register. PAIR 4/4 bit-exact.	BP @ probe_adsr1_mid_register entry.
0x8001B8B0	function	spu_write_voice_adsr1_low	PAIR	SPU voice ADSR1 low-nibble RMW writer.\nWrites only the sustain level nibble (SPU+0x08 bits 0-3).\nArgs: a0 = voice, a1 = sustain_level u8 (0..15).\nProbe: probe_adsr1_low_register. PAIR 4/4 bit-exact.	BP @ probe_adsr1_low_register entry.
0x8001B938	function	spu_write_voice_adsr1_high	PAIR	SPU voice ADSR1 high writer.\nWrites SPU+0x08 bits 8-15: attack rate (bits 8-14) + attack mode (bit 15 0=linear/1=exponential).\nArgs: a0 = voice, a1 = attack_rate, a2 = attack_mode_exp.\nProbe: probe_adsr1_high_register. PAIR 4/4 bit-exact.	BP @ probe_adsr1_high_register entry.
0x8001B9D4	function	spu_write_voice_adsr2	PAIR	SPU voice ADSR2 high-bits writer.\nWrites SPU+0x0A bits 6-15: sustain rate (bits 8-14) + sustain mode (bit 15) + sustain direction (bit 14) + sustain step (bits 6-7).\nProbe BP: probe_adsr2_register @ 0x8001BA54 (the actual sh inside this function).\nProbe: probe_adsr2_register. PAIR 11/11 bit-exact.
